# Blobs dataset.
label x y
0 0.4281 0.4914
0 0.0324 -0.0638
0 0.3393 0.0604
1 1.4980 1.2407
0 -0.3335 0.0282
0 0.0092 0.1515
0 0.3614 -0.0360
0 -0.6674 0.4128
0 0.1092 -0.2988
0 0.2041 0.2249
0 -0.0260 0.0656
0 0.0788 -0.0562
0 0.1332 -0.0065
0 0.3739 -0.3009
0 -0.4349 0.1073
1 0.7159 0.5581
0 0.5835 0.1825
1 0.7866 0.7103
1 0.8503 1.3948
0 -0.0659 0.2684
1 0.9775 1.3780
1 0.4864 0.6611
0 -0.0165 -0.1985
1 1.2215 0.8227
1 1.0758 1.3387
0 -0.1009 0.2139
0 -0.3283 0.1717
1 0.6452 0.9727
0 0.3235 -0.2663
1 1.2707 1.3123
0 0.2680 -0.4141
0 0.3290 0.3778
1 0.1743 1.1476
1 0.8236 0.8883
0 -0.2667 -0.0130
1 1.1400 0.8786
1 1.0124 1.4654
0 0.2179 -0.5301
1 1.1855 1.1350
0 -0.1191 0.0943
1 0.9806 0.7686
1 1.3544 0.8381
0 -0.4812 -0.1195
1 0.8209 1.2717
1 0.6665 1.0444
1 0.9704 1.1071
1 0.3066 1.6014
1 1.2343 0.8189
0 -0.5556 0.0135
1 0.5752 1.0318
0 -0.0439 -0.0705
0 0.5107 0.2488
0 0.5468 -0.1480
1 0.4411 0.4533
0 0.4981 0.1053
1 1.5003 0.6729
0 -0.2045 0.1147
1 1.1432 0.6413
1 1.1748 1.1291
0 -0.1470 -0.2097
1 1.2209 0.4064
1 0.5216 0.9669
1 1.0704 1.2203
0 -0.0537 0.1182
1 0.7531 1.1795
0 -0.5511 -0.0446
1 1.2420 1.7346
1 1.1398 1.0182
0 0.0149 0.1229
1 0.9225 1.1091
0 0.0322 0.0387
0 0.0500 -0.0176
0 0.4500 -0.4242
1 1.3414 0.9140
0 -0.0637 0.2155
0 0.1645 -0.2877
1 1.2568 0.7407
0 -0.2960 0.0062
1 1.2185 0.5585
1 1.2790 0.8502
1 1.3190 0.7187
0 -0.3601 0.0831
0 0.1449 0.4348
0 -0.0932 0.1997
0 -0.3736 -0.3414
1 0.8315 0.4919
0 0.3634 0.1480
1 1.3079 0.9266
1 1.2208 1.3954
0 -0.0466 -0.0353
1 1.1883 0.5872
1 1.0107 1.3517
1 1.2424 0.5360
1 1.2419 1.2554
0 -0.5988 -0.2927
1 0.8338 0.9535
1 1.2615 0.9685
1 1.0508 0.4280
0 -0.6605 -0.1212
0 0.2496 0.1234
0 0.0352 0.2388
0 -0.0327 0.0638
0 0.3306 0.4702
1 1.2086 0.5663
1 0.9805 1.1869
1 0.7069 0.9430
0 0.4831 -0.4799
1 1.5128 0.9040
1 1.0149 1.2766
0 -0.4469 -0.4060
0 0.1483 -0.1015
1 1.2924 1.1749
1 1.2624 0.4735
1 1.0303 0.8407
0 0.4095 0.1051
0 0.1894 0.6413
1 1.5069 0.5534
0 -0.0698 -0.1605
0 -0.1603 -0.3107
0 -0.2773 0.2441
1 0.9638 1.1097
1 0.9868 1.2558
1 0.8937 0.9936
1 1.0478 1.5591
1 0.8900 0.7664
0 0.1108 0.0371
0 -0.0628 0.7322
0 -0.0293 0.2886
1 1.0644 0.9893
1 0.9882 0.5707
1 0.9554 0.0907
0 0.1608 0.0392
1 1.5118 1.3525
0 -0.3238 -0.1239
1 0.8780 0.3950
0 0.1690 0.2499
0 -0.2234 -0.3444
1 0.9002 0.7765
0 -0.0801 -0.0517
0 -0.4416 0.6745
0 -0.3473 -0.2019
0 -0.0843 0.1885
1 0.8534 0.9307
1 1.2708 1.1929
1 0.3829 1.1078
0 -0.1328 0.1907
0 0.2032 -0.1430
1 0.9989 0.8605
1 1.1067 1.6040
1 0.9255 0.9463
0 -0.1696 0.6181
1 0.8533 0.8043
1 0.6461 1.0330
0 -0.2096 -0.0599
0 0.0229 0.1759
0 0.3430 -0.1019
0 -0.3190 -0.1506
0 0.1067 -0.0055
1 1.2492 0.8148
1 0.9107 1.3623
0 -0.0909 0.4568
1 0.7765 1.3307
0 -0.1516 -0.0157
1 1.3829 1.0515
1 0.5346 0.7421
1 1.0033 0.9353
0 0.1598 0.2306
1 0.8128 0.7450
0 0.4301 0.4774
1 0.7040 1.0970
0 -0.1853 0.0967
1 0.9375 0.7413
1 1.4742 0.9709
0 0.0753 -0.0961
0 -0.2198 -0.1534
1 1.5754 0.9537
1 1.0661 0.5235
0 0.0917 -0.0206
1 0.5299 1.2123
1 0.8300 1.0707
1 0.7680 1.2465
0 -0.0786 0.1074
0 0.0979 -0.4040
1 0.7692 0.9739
1 0.6928 0.9623
0 0.1868 0.1059
1 0.7918 1.1291
0 0.2043 0.0912
1 1.2247 0.6425
1 1.5536 1.1474
1 0.9730 1.1501
0 0.2516 0.1862
0 -0.1542 -0.0232
0 -0.2334 0.2190
0 -0.0144 0.1428
0 -0.1292 -0.2885
1 0.9337 1.0325
0 -0.6067 0.2570
1 0.7390 0.8045
0 0.3863 -0.1827
