# 
#   Average Norwegian monthly salary for 2015, 2016 and 2017
#   for approx 78 different industries, labeled by
#   highest achieved education:
#     0: Elementary and junior high school (Grunnskole)
#     1: High school (Videregaaende)
#     2: phD
#   Data from https://www.ssb.no/statbank/table/11420
#
Type Salary
0 38230.0000
0 37890.0000
0 50803.3333
0 36190.0000
0 36163.3333
0 33083.3333
0 32600.0000
0 36760.0000
0 36786.6667
0 36816.6667
0 36010.0000
0 35270.0000
0 37783.3333
0 36970.0000
0 36633.3333
0 34643.3333
0 36676.6667
0 34063.3333
0 39243.3333
0 33773.3333
0 32933.3333
0 40693.3333
0 33510.0000
0 35136.6667
0 34600.0000
0 33876.6667
0 41070.0000
0 50530.0000
0 39676.6667
0 35920.0000
0 28223.3333
0 28973.3333
0 32210.0000
0 47286.6667
0 40413.3333
0 45290.0000
0 43390.0000
0 47376.6667
0 44443.3333
0 44783.3333
0 49396.6667
0 39523.3333
0 53286.6667
0 39800.0000
0 44890.0000
0 44976.6667
0 41800.0000
0 40200.0000
0 40456.6667
0 34913.3333
0 37990.0000
0 33373.3333
0 33083.3333
0 33526.6667
0 38263.3333
0 28430.0000
0 30616.6667
0 38020.0000
0 37283.3333
0 40886.6667
0 44066.6667
0 36726.6667
0 29030.0000
0 28176.6667
0 31760.0000
0 32016.6667
0 31883.3333
0 32283.3333
0 31233.3333
0 30790.0000
0 28683.3333
0 31846.6667
0 29826.6667
0 39326.6667
0 33563.3333
0 35566.6667
0 28233.3333
0 46050.0000
0 34803.3333
0 31830.0000
0 26103.3333
1 46416.6667
1 43803.3333
1 61990.0000
1 41693.3333
1 39456.6667
1 38070.0000
1 39620.0000
1 41386.6667
1 47816.6667
1 42066.6667
1 45176.6667
1 41846.6667
1 45996.6667
1 46833.3333
1 46396.6667
1 38980.0000
1 46306.6667
1 43380.0000
1 45940.0000
1 42696.6667
1 41103.3333
1 46086.6667
1 37406.6667
1 39166.6667
1 37356.6667
1 44983.3333
1 61046.6667
1 61240.0000
1 45900.0000
1 38346.6667
1 34863.3333
1 33460.0000
1 40023.3333
1 51520.0000
1 44576.6667
1 49123.3333
1 51100.0000
1 54970.0000
1 50806.6667
1 49230.0000
1 61323.3333
1 46346.6667
1 57653.3333
1 43846.6667
1 53060.0000
1 52040.0000
1 47373.3333
1 47290.0000
1 46060.0000
1 41816.6667
1 40160.0000
1 38080.0000
1 36933.3333
1 36746.6667
1 46153.3333
1 40133.3333
1 42336.6667
1 43066.6667
1 44206.6667
1 43226.6667
1 44226.6667
1 38020.0000
1 34700.0000
1 37160.0000
1 37870.0000
1 40066.6667
1 36543.3333
1 36313.3333
1 36856.6667
1 35603.3333
1 31220.0000
1 36826.6667
1 36616.6667
1 41130.0000
1 36340.0000
1 39576.6667
1 52116.6667
1 50240.0000
1 39050.0000
1 37803.3333
1 34416.6667
2 70083.3333
2 91100.0000
2 61860.0000
2 56313.3333
2 78353.3333
2 70206.6667
2 87960.0000
2 68336.6667
2 70006.6667
2 65786.6667
2 71713.3333
2 59720.0000
2 68903.3333
2 74953.3333
2 64270.0000
2 56093.3333
2 57193.3333
2 62766.6667
2 53486.6667
2 49600.0000
2 38703.3333
2 56006.6667
2 92413.3333
2 74100.0000
2 65870.0000
2 50600.0000
2 38073.3333
2 35303.3333
2 36320.0000
2 63093.3333
2 48696.6667
2 54040.0000
2 76653.3333
2 65670.0000
2 62096.6667
2 74450.0000
2 84823.3333
2 73046.6667
2 76683.3333
2 59663.3333
2 70753.3333
2 64496.6667
2 60186.6667
2 54660.0000
2 67076.6667
2 48543.3333
2 43893.3333
2 52390.0000
2 48700.0000
2 37176.6667
2 63096.6667
2 52303.3333
2 53980.0000
2 52246.6667
2 60356.6667
2 54933.3333
2 54283.3333
2 42443.3333
2 47000.0000
2 49690.0000
2 49510.0000
2 47120.0000
2 65993.3333
2 69610.0000
2 45093.3333
2 42456.6667
2 35423.3333
2 43620.0000
2 41483.3333
2 45913.3333
2 45123.3333
2 44763.3333
2 69693.3333
2 62660.0000
2 48976.6667
2 40283.3333
