Year Temp
1880 13.5725
1881 13.5991666666667
1882 13.685
1883 13.6716666666667
1884 13.395
1885 13.535
1886 13.3891666666667
1887 13.3241666666667
1888 13.5375
1889 13.8133333333333
1890 13.455
1891 13.4658333333333
1892 13.5175
1893 13.5008333333333
1894 13.61
1895 13.6783333333333
1896 13.7133333333333
1897 13.8116666666667
1898 13.6391666666667
1899 13.71
1900 13.8558333333333
1901 13.8733333333333
1902 13.6691666666667
1903 13.6091666666667
1904 13.4975
1905 13.6766666666667
1906 13.785
1907 13.4858333333333
1908 13.63
1909 13.6166666666667
1910 13.6808333333333
1911 13.6516666666667
1912 13.6758333333333
1913 13.6775
1914 13.925
1915 13.935
1916 13.7091666666667
1917 13.495
1918 13.59
1919 13.8325
1920 13.7466666666667
1921 13.8575
1922 13.7775
1923 13.7658333333333
1924 13.8025
1925 13.7775
1926 13.9858333333333
1927 13.8475
1928 13.9291666666667
1929 13.6916666666667
1930 13.8675
1931 13.9241666666667
1932 13.9058333333333
1933 13.7708333333333
1934 13.9208333333333
1935 13.79
1936 13.9233333333333
1937 14.0158333333333
1938 14.0733333333333
1939 13.9041666666667
1940 14.0925
1941 14.0466666666667
1942 14.0491666666667
1943 13.9891666666667
1944 14.04
1945 13.9066666666667
1946 13.9116666666667
1947 14.025
1948 13.9066666666667
1949 13.8683333333333
1950 13.775
1951 13.9208333333333
1952 13.9633333333333
1953 14.0491666666667
1954 13.8591666666667
1955 13.8658333333333
1956 13.7633333333333
1957 14.0208333333333
1958 14.0708333333333
1959 14.0391666666667
1960 13.9791666666667
1961 14.085
1962 14.0241666666667
1963 14.0241666666667
1964 13.7533333333333
1965 13.8366666666667
1966 13.9383333333333
1967 13.9866666666667
1968 13.9066666666667
1969 14.015
1970 14.0691666666667
1971 13.9391666666667
1972 13.9841666666667
1973 14.2175
1974 13.9558333333333
1975 14.0133333333333
1976 13.8275
1977 14.21
1978 14.1358333333333
1979 14.2008333333333
1980 14.3408333333333
1981 14.4358333333333
1982 14.14
1983 14.3933333333333
1984 14.2125
1985 14.1908333333333
1986 14.2591666666667
1987 14.4208333333333
1988 14.5275
1989 14.3858333333333
1990 14.5366666666667
1991 14.5358333333333
1992 14.2466666666667
1993 14.28
1994 14.3916666666667
1995 14.5725
1996 14.4966666666667
1997 14.5516666666667
1998 14.8441666666667
1999 14.5941666666667
2000 14.5808333333333
2001 14.6808333333333
2002 14.8041666666667
2003 14.7816666666667
2004 14.6875
2005 14.8808333333333
2006 14.7691666666667
2007 14.855
2008 14.6458333333333
2009 14.7916666666667
2010 14.9208333333333
2011 14.78
2012 14.7666666666667
2013 14.8091666666667
2014 14.8791666666667
2015 14.975
2016 15.2416666666667
2017 15.1275
